uuid;seller_id;seller_firstname;seller_lastname;date_joined;country;contact_region;contact_date;contact_customer_fullname;contact_type;contact_product_type_offered_id;contact_product_type_offered;sale_net_amount;sale_gross_amount;sale_tax_rate;sale_product_total_cost
e5ccd032-e7d1-44e9-b3b3-a8463bc20421;3453;Adalie;Patel;2008-03-09;S8;Afghanistan;2014-10-08;Adalie Patel;Baidu;3453;Guinness;37.7991962930184;75.7229473207719;0.000104286242325;48.772612229815
8a04bda9-f5ac-4eb2-b035-f97f230f2033;6759;Aiden;Wooldridge;2014-11-13;sA;Afghanistan;2018-12-26;Aiden Wooldridge;Wolfamalpha;6759;Grolsch;107.28925628182;107.517275223284;0.000189357902943;52.6024724122148
5c423511-7de8-4b26-a2d0-1408e0d5467a;8208;Amelia;Evans;2011-04-26;hU;Afghanistan;2022-01-16;Amelia Evans;DuckDuckGo;8208;Jameson;47.7799684162158;92.2229571138616;0.000325311906787;33.0240364624299
47792f3f-2bf8-4d05-9745-7a7dd39ef5b7;4641;Anthony;Morris;2019-07-16;0b;Afghanistan;2010-01-20;Anthony Morris;Ask;4641;Edelweiss;37.6464749251709;96.2139283722331;0.000437484123016;60.0355808460319
9243afac-f748-4cdd-b459-ba94f750271e;3034;Barney;Warren;2010-06-18;BB;Afghanistan;2019-09-17;Barney Warren;Yandex.ru;3034;Corona;129.243255591133;91.5296717223384;0.000553557649513;101.967080769579
cdb69cc2-c3ea-4544-b8a6-d65e56f12c37;7003;Barry;Morley;2012-05-08;QW;Afghanistan;2016-06-15;Barry Morley;Ask;7003;Brahma;47.0444908882698;81.0682391152104;0.000560803339146;56.774270013801
0c0f6b05-44fc-45b0-b9d7-948e7c9094d8;2676;Benny;Burge;2006-07-05;Su;Afghanistan;2019-12-09;Benny Burge;DuckDuckGo;2676;Tanqueray;35.4446330943353;108.836593902594;0.000639081467241;41.4762841046212
08f896dd-c456-449d-ac3b-34d51d4259fa;8384;Brad;Fulton;2016-10-18;TU;Afghanistan;2012-05-12;Brad Fulton;Wolfamalpha;8384;Malibu;98.4223837048851;75.3143292634349;0.000677867327201;10.708244204851
23c56a68-9422-4188-9b51-7fb7b4f43d49;9066;Chad;Buckley;2006-06-01;FB;Afghanistan;2008-01-06;Chad Buckley;Baidu;9066;Z Lager;87.8620356441764;100.080007722639;0.000701627228736;96.7922416305133
629bdfb2-196a-4e76-9f9f-a44af0ce75cc;5562;Chad;Lindsay;2019-08-03;Wk;Afghanistan;2007-04-08;Chad Lindsay;Yahoo;5562;Evolution Fresh;46.2265498001252;51.1342106587879;0.000921947416347;84.8698851214116
38b0f922-c16c-4362-bc24-d881ddd58952;7534;Daniel;Latham;2016-09-19;oK;Afghanistan;2014-11-19;Daniel Latham;Baidu;7534;Cappy;113.991092700973;90.2204341046607;0.00093137333213;101.856816346225
c5fc49fd-df2c-437a-9571-33ec8e248c0f;3258;Denis;Payne;2021-09-13;Fd;Afghanistan;2015-12-28;Denis Payne;Go.com;3258;Pepsi;74.8634083843154;132.955427150221;0.000989252701862;109.608455786765
